active date,change type,delete date,event,event object id,last change type,notify date,object,state,type
2025-01-01T18:35:29.000Z,new,,1776208,402590,new,,330,active,vehicle
2025-01-02T10:52:37.000Z,new,,1709944,402591,new,,Classroom,active,vehicle
2025-01-02T11:37:46.000Z,new,,1773335,402592,new,,327,active,vehicle
2025-01-02T11:38:03.000Z,new,,1768498,402593,new,,350,active,vehicle
2025-01-02T11:38:23.000Z,new,,1783150,402594,new,,350,active,vehicle
2025-01-02T11:46:20.000Z,new,,1765986,402595,new,,376,active,vehicle
2025-01-02T11:47:47.000Z,new,2025-01-02T11:47:19.000Z,1758073,402597,new,,384,active,vehicle
2025-01-02T11:47:02.000Z,new,,1766054,402598,new,,376,active,vehicle
2025-01-02T11:47:30.000Z,new,,1780654,402600,new,,376,active,vehicle
2025-01-02T11:47:38.000Z,new,,1780654,402601,new,,33804,active,vehicle
2025-01-02T11:47:54.000Z,new,,1758073,402603,new,,33795,active,vehicle
2025-01-02T11:56:51.000Z,new,,1768011,402604,new,,343,active,vehicle
2025-01-02T11:57:01.000Z,new,,1768011,402605,new,,33808,active,vehicle
2025-01-02T12:00:31.000Z,new,,1761010,402606,new,,367,active,vehicle
2025-01-02T12:00:48.000Z,new,,1761010,402607,new,,31533,active,vehicle
2025-01-02T12:04:02.000Z,new,,1748361,402608,new,,327,active,vehicle
2025-01-02T12:04:09.000Z,new,,1748361,402609,new,,33805,active,vehicle
2025-01-02T12:05:47.000Z,new,,1726043,402610,new,,327,active,vehicle
2025-01-02T12:05:57.000Z,new,,1739405,402611,new,,325,active,vehicle
2025-01-02T12:06:10.000Z,new,,1739405,402612,new,,31520 (Loaded Trailer),active,vehicle
2025-01-02T12:06:44.000Z,new,,1766934,402613,new,,330,active,vehicle
2025-01-02T12:06:56.000Z,new,,1766934,402614,new,,31620,active,vehicle
2025-01-02T12:08:35.000Z,new,,1734987,402615,new,,331,active,vehicle
2025-01-02T12:08:50.000Z,new,,1734987,402616,new,,33902,active,vehicle
2025-01-02T12:17:37.000Z,new,,1768619,402618,new,,358,active,vehicle
2025-01-02T12:17:47.000Z,new,,1768619,402619,new,,31642 (Loaded Trailer),active,vehicle
2025-01-02T12:19:48.000Z,new,,1732178,402620,new,,EX31,active,vehicle
2025-01-02T12:20:39.000Z,new,,1753576,402621,new,,346,active,vehicle
2025-01-02T12:20:45.000Z,new,,1753576,402622,new,,33901,active,vehicle
2025-01-02T12:22:38.000Z,new,,1767952,402623,new,,343,active,vehicle
2025-01-02T12:22:50.000Z,new,,1767952,402624,new,,33808,active,vehicle
2025-01-02T12:24:22.000Z,new,,1732181,402625,new,,Observation,active,vehicle
2025-01-02T12:24:27.000Z,new,,1691726,402626,new,,Classroom,active,vehicle
2025-01-02T12:25:26.000Z,new,,1732182,402627,new,,Observation,active,vehicle
2025-01-02T12:28:12.000Z,new,,1775215,402633,new,,911,active,vehicle
2025-01-02T12:35:14.000Z,new,,1759929,402635,new,,387,active,vehicle
2025-01-02T12:35:54.000Z,new,,1759929,402636,new,,31958,active,vehicle
2025-01-02T12:36:12.000Z,new,,1788216,402637,new,,331,active,vehicle
2025-01-02T12:36:17.000Z,new,,1788216,402638,new,,33902,active,vehicle
2025-01-02T12:37:24.000Z,new,,1775458,402639,new,,346,active,vehicle
2025-01-02T12:37:30.000Z,new,,1775458,402640,new,,33901,active,vehicle
2025-01-02T12:37:49.000Z,new,,1734662,402641,new,,4004,active,vehicle
2025-01-02T12:38:38.000Z,new,,1734662,402642,new,,42802,active,vehicle
2025-01-02T12:40:59.000Z,new,,1761380,402643,new,,361,active,vehicle
2025-01-02T12:41:20.000Z,new,,1761380,402644,new,,33793,active,vehicle
2025-01-02T12:48:38.000Z,new,,1692796,402657,new,,406,active,vehicle
2025-01-02T12:48:53.000Z,new,,1692796,402662,new,,33821,active,vehicle
