amount,create date,date,invoice,method,notes,payment,payment id,reference,source,state
5000.00,2022-02-02T15:10:11.000Z,2022-02-02T05:00:00.000Z,1515,cash,,,1519,,internal,deleted
9450.00,2022-06-30T18:06:54.000Z,2022-06-30T18:06:46.000Z,2865,cheque,,,2884,,internal,deleted
140.00,2022-09-28T14:55:13.000Z,2022-09-28T04:00:00.000Z,4378,cheque,,,4645,,internal,deleted
-6000.00,2022-09-28T17:18:32.000Z,2022-09-28T04:00:00.000Z,2990,credit_card,,,4647,,internal,active
450.00,2023-08-01T15:34:42.000Z,2023-08-01T15:32:44.000Z,5966,cheque,Student,,5981,,internal,active
10595.00,2023-08-02T17:35:40.000Z,2023-08-02T17:34:37.000Z,6126,email_transfer,,,6130,,internal,active
500.00,2023-08-02T18:36:18.000Z,2023-08-02T18:36:08.000Z,6168,cash,,,6172,,internal,active
12595.00,2023-09-01T15:39:41.000Z,2023-08-30T04:00:00.000Z,14093,cheque,MTCU cheque,,14187,,internal,active
1600.00,2023-09-01T19:37:32.000Z,2023-09-01T19:36:26.000Z,14671,credit_card,,,14681,,internal,active
350.00,2023-09-06T13:28:16.000Z,2023-09-06T13:27:39.000Z,15035,email_transfer,,,15677,,internal,active
13000.00,2023-09-06T13:29:28.000Z,2023-09-06T13:28:52.000Z,15429,cheque,,,15678,,internal,active
1495.00,2023-09-06T13:58:39.000Z,2023-09-06T13:58:27.000Z,14171,credit_card,,,15757,,internal,active
200.00,2023-09-06T14:11:28.000Z,2023-09-05T04:00:00.000Z,15175,email_transfer,,,15886,,internal,active
150.00,2023-09-06T14:23:33.000Z,2023-09-06T14:22:42.000Z,14162,email_transfer,,,15959,,internal,active
200.00,2023-09-07T15:18:55.000Z,2023-09-05T04:00:00.000Z,15175,email_transfer,,,17324,,internal,active
150.00,2023-09-07T15:33:45.000Z,2023-09-06T04:00:00.000Z,15327,credit_card,,,17340,,internal,active
10347.00,2023-09-07T15:50:58.000Z,2023-09-07T15:50:12.000Z,17362,cheque,,,17365,,internal,active
8000.00,2023-09-07T15:55:18.000Z,2023-09-07T15:53:21.000Z,14070,bank_transfer,,,17377,,internal,active
4500.00,2023-09-07T16:55:51.000Z,2023-09-07T16:54:43.000Z,14054,credit_card,,,17620,M820292281-001-001-259-0,internal,active
1000.00,2023-09-07T17:16:33.000Z,2023-09-07T17:16:14.000Z,17726,cheque,,,17733,,internal,active
180.00,2023-09-08T14:43:41.000Z,2023-09-08T14:43:35.000Z,15041,credit_card,,,18833,M82029281-001-001-267-0,internal,active
4500.00,2023-09-08T16:27:56.000Z,2023-09-08T16:27:10.000Z,19033,credit_card,Visa,,19070,,internal,active
200.00,2023-09-08T18:20:35.000Z,2023-09-08T18:19:49.000Z,15358,credit_card,Visa - Paid By Mitchell Bultena,,19482,,internal,active
200.00,2023-09-08T18:51:28.000Z,2023-09-08T18:50:52.000Z,15365,credit_card,,,19606,,internal,active
200.00,2023-09-11T12:50:59.000Z,2023-09-11T12:47:41.000Z,15181,credit_card,Visa Payment ,,20330,,internal,active
180.00,2023-09-11T16:38:20.000Z,2023-09-08T04:00:00.000Z,19082,email_transfer,,,20709,,internal,active
15000.00,2023-09-11T17:01:12.000Z,2023-09-11T16:58:05.000Z,17187,cheque,,,20834,,internal,active
1000.00,2023-09-11T17:30:35.000Z,2023-09-11T17:27:34.000Z,17187,credit_card,Visa,,20988,,internal,active
150.00,2023-09-11T18:41:14.000Z,2023-09-11T18:40:36.000Z,21131,email_transfer,,,21133,,internal,active
150.00,2023-09-12T13:01:57.000Z,2023-09-12T12:59:52.000Z,21322,credit_card,Paid by Visa,,21562,,internal,active
15000.00,2023-09-12T13:05:58.000Z,2023-09-11T04:00:00.000Z,18880,cheque,,,21570,,internal,active
789.35,2023-09-12T13:17:06.000Z,,20662,bank_transfer,,,21577,,internal,active
1000.00,2023-09-12T13:22:56.000Z,2023-09-12T13:22:42.000Z,18880,credit_card,,,21587,,internal,active
350.00,2023-09-12T15:48:59.000Z,2023-09-12T15:48:20.000Z,22028,email_transfer,,,22037,,internal,active
3000.00,2023-09-12T17:00:25.000Z,2023-09-11T04:00:00.000Z,21185,email_transfer,,,22289,,internal,active
3000.00,2023-09-12T17:00:47.000Z,2023-09-11T04:00:00.000Z,21185,email_transfer,,,22299,,internal,active
3995.00,2023-09-12T17:41:10.000Z,2023-09-12T17:40:32.000Z,16898,email_transfer,,,22418,,internal,active
2495.00,2023-09-12T17:57:00.000Z,2023-09-12T17:56:10.000Z,17198,credit_card,,,22470,06655Z,internal,active
2000.00,2023-09-12T19:17:08.000Z,2023-09-12T19:16:55.000Z,18950,bank_transfer,,,22678,,internal,active
19295.00,2023-09-12T19:18:29.000Z,2023-09-12T19:17:39.000Z,15127,cheque,,,22693,,internal,active
900.00,2023-09-12T19:22:07.000Z,2023-09-12T19:21:59.000Z,20662,bank_transfer,,,22699,,internal,active
12595.00,2023-09-12T19:24:08.000Z,2023-08-10T04:00:00.000Z,21515,cheque,,,22704,,internal,active
